id,standard_correct,run_correct
1,false,true
2,false,true
3,true,true
4,true,true
5,false,true
6,false,true
7,true,true
8,true,true
9,false,true
10,true,true
11,false,true
12,true,true
13,false,true
14,true,true
15,true,true
16,true,true
17,true,true
18,true,true
19,true,true
20,true,true
21,false,true
22,false,true
23,false,true
24,true,true
25,false,true
26,true,true
27,false,true
28,false,true
29,false,true
30,false,true
31,true,true
32,true,true
33,true,true
34,false,true
35,true,true
36,false,true
37,true,true
38,true,true
39,true,true
40,true,true
41,false,true
42,true,true
43,false,true
44,true,true
45,true,true
46,true,true
47,true,true
48,false,true
49,false,true
50,true,true
